芸術指標,世界遺産件数
98,2件
28,2件
65,3件
129,0件
51,2件
84,0件
61,0件
102,0件
100,1件
121,1件
154,0件
155,0件
179,2件
179,0件
62,0件
140,1件
129,0件
91,0件
117,1件
140,0件
102,1件
114,2件
146,0件
113,1件
134,1件
173,1件
148,1件
152,1件
162,3件
67,1件
69,0件
75,1件
121,0件
115,2件
85,1件
80,0件
87,0件
70,0件
28,0件
136,2件
76,1件
62,2件
64,2件
78,0件
50,0件
60,3件
84,2件
